country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","22-01-2026 19:00:00",25.5626095,84.663264,OZONE,7,8,8
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","22-01-2026 19:00:00",26.187500,91.744194,PM2.5,63,281,173
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","22-01-2026 19:00:00",26.181742,91.78063,SO2,35,37,36
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","22-01-2026 19:00:00",26.987634,94.636574,PM2.5,NA,NA,NA
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","22-01-2026 19:00:00",25.42742023,86.13886079,SO2,28,31,30
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","22-01-2026 19:00:00",26.80365,84.51954,PM2.5,32,253,120
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","22-01-2026 19:00:00",26.80365,84.51954,PM10,29,145,94
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","22-01-2026 19:00:00",22.348441,82.549611,SO2,5,47,17
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","22-01-2026 19:00:00",22.126650,83.483212,NH3,2,2,2
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","22-01-2026 19:00:00",22.126650,83.483212,CO,14,56,22
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","22-01-2026 19:00:00",22.1910172,83.5197009,NO2,16,47,26
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","22-01-2026 19:00:00",21.258815,81.578979,PM10,33,159,90
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","22-01-2026 19:00:00",21.258815,81.578979,CO,22,105,33
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","22-01-2026 19:00:00",21.258815,81.578979,OZONE,1,23,6
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","22-01-2026 19:00:00",21.219665,81.630094,PM10,28,148,76
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","22-01-2026 19:00:00",21.219665,81.630094,NH3,2,2,2
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","22-01-2026 19:00:00",21.219665,81.630094,OZONE,2,9,5
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","22-01-2026 19:00:00",21.237755,81.705301,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","22-01-2026 19:00:00",28.695381,77.181665,OZONE,2,209,126
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","22-01-2026 19:00:00",28.4706914,77.1099364,CO,6,123,38
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","22-01-2026 19:00:00",28.7256504,77.2011573,PM10,178,415,306
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","22-01-2026 19:00:00",28.7256504,77.2011573,NO2,3,229,108
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","22-01-2026 19:00:00",28.5512005,77.2735737,NO2,19,83,44
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","22-01-2026 19:00:00",28.656756,77.227234,PM10,160,500,340
India,Delhi,Delhi,"DTU, Delhi - CPCB","22-01-2026 19:00:00",28.7500499,77.1112615,NO2,42,94,60
India,Delhi,Delhi,"DTU, Delhi - CPCB","22-01-2026 19:00:00",28.7500499,77.1112615,OZONE,6,70,38
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","22-01-2026 19:00:00",28.498571,77.264840,PM2.5,183,417,330
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","22-01-2026 19:00:00",21.237755,81.705301,CO,16,22,18
